Date,001M,002M,003M,006M,009M,012M,018M,024M,036M,048M,060M,084M,120M,180M,240M,300M,360M
20091224,0.018914346,0.025949293,0.051987301,0.181381618,0.303534804,0.432503127,0.722485974,1.009862684,1.559630471,2.098968757,2.561613936,3.300130287,3.805603846,4.227434419,4.455169951,4.592195519,4.6738015
20091225,0.018199371,0.025048944,0.051588092,0.1834317,0.301436334,0.428238119,0.72075498,1.009933417,1.559627565,2.099255181,2.561537551,3.29765505,3.805643441,4.228246497,4.455665729,4.592344284,4.673809885
20091228,0.016065896,0.036182399,0.066458066,0.200594764,0.331149486,0.469862201,0.785618266,1.086593083,1.642826914,2.16703944,2.620562123,3.341200198,3.840769343,4.252449101,4.472184141,4.601898868,4.680075279
20091229,0.025699521,0.058132036,0.090157735,0.20018527,0.321932517,0.45554332,0.765782357,1.070691275,1.636311973,2.146478242,2.591363576,3.311716741,3.798513179,4.204049651,4.422262866,4.552729187,4.629637419
20091230,0.01683682,0.020662261,0.04465459,0.186850106,0.304578015,0.435973409,0.759354078,1.081356369,1.628629027,2.160746972,2.615442555,3.308905554,3.786683335,4.186318571,4.39930931,4.526831289,4.60296901
20091231,0.0413042,0.034807068,0.061065896,0.203101538,0.331295431,0.478041819,0.816340479,1.135786006,1.697630547,2.235952686,2.686257079,3.378577346,3.840128658,4.225160732,4.433318025,4.558975778,4.633937317
20100101,0.037368151,0.039734188,0.068728801,0.202908138,0.330058787,0.476794459,0.816611051,1.135774112,1.692163809,2.2333009,2.686264832,3.378572336,3.838159414,4.219380355,4.42420667,4.547643112,4.621454044
20100104,0.046608893,0.042946476,0.064799432,0.181663253,0.300412409,0.438182299,0.753314523,1.06625759,1.640492624,2.182131513,2.641964142,3.344628582,3.818563285,4.215003858,4.430421342,4.558504981,4.635370396
20100105,0.03736558,0.045751387,0.064602296,0.154604067,0.273182048,0.407889556,0.709006786,1.012414107,1.579194455,2.112104729,2.570566586,3.28154134,3.765334469,4.171455472,4.392163353,4.524336173,4.60238027
20100106,0.023858461,0.033465329,0.053267784,0.144481743,0.262023276,0.395900231,0.692453996,1.004294117,1.584554886,2.133901128,2.60140376,3.327495048,3.824272062,4.240955453,4.46481574,4.598612841,4.678181613
20100107,0.017753632,0.026175998,0.049078547,0.154819753,0.271363134,0.412294219,0.718777979,1.034660257,1.607995979,2.15704442,2.622097462,3.33120903,3.826565147,4.240990047,4.463846644,4.596798006,4.676114751
20100108,0.019644256,0.025664075,0.050864013,0.156746422,0.251570531,0.372605334,0.676530701,0.98886678,1.576052669,2.138812205,2.608312067,3.331621101,3.835814355,4.257460083,4.485605759,4.622865845,4.704149777
20100111,0.014388504,0.010689042,0.029522555,0.13078877,0.222747098,0.343839551,0.641466183,0.950583893,1.545687479,2.101643463,2.574171694,3.307878307,3.824066761,4.258289693,4.495239993,4.635938456,4.719577432
20100112,0.020265593,0.024271751,0.042092208,0.135536136,0.22336301,0.33822222,0.623794646,0.919411742,1.48319027,2.026469155,2.492591909,3.210601019,3.720100176,4.150573373,4.38595055,4.527287857,4.609776451
